,state,ca_monthly,age_group,poverty_rate
1278,Kansas,150,child,5.1
1281,Kansas,175,child,5.1
1284,Kansas,200,child,4.9
1287,Kansas,225,child,4.5
1290,Kansas,250,child,4.3
1293,Kansas,275,child,4.0
1296,Kansas,300,child,4.0
1299,Kansas,325,child,3.9
1302,Kansas,350,child,3.3
1305,Kansas,375,child,2.6
1308,Kansas,400,child,2.6
1311,Kansas,425,child,2.6
1314,Kansas,450,child,2.3
1317,Kansas,475,child,2.2
1320,Kansas,500,child,2.0
1890,Kentucky,0,child,11.6
1893,Kentucky,25,child,11.2
1896,Kentucky,50,child,10.5
1899,Kentucky,75,child,9.7
1902,Kentucky,100,child,9.2
1905,Kentucky,125,child,8.8
1908,Kentucky,150,child,8.5
1911,Kentucky,175,child,8.3
1914,Kentucky,200,child,7.8
1917,Kentucky,225,child,6.9
1920,Kentucky,250,child,6.9
1923,Kentucky,275,child,6.3
1926,Kentucky,300,child,5.7
1929,Kentucky,325,child,5.2
1932,Kentucky,350,child,4.8
1935,Kentucky,375,child,4.5
1938,Kentucky,400,child,4.0
1941,Kentucky,425,child,3.7
1944,Kentucky,450,child,3.1
1947,Kentucky,475,child,3.1
1950,Kentucky,500,child,2.9
2205,Louisiana,0,child,20.0
2208,Louisiana,25,child,19.1
2211,Louisiana,50,child,17.8
2214,Louisiana,75,child,16.4
2217,Louisiana,100,child,15.8
2220,Louisiana,125,child,14.1
2223,Louisiana,150,child,12.8
2226,Louisiana,175,child,11.8
2229,Louisiana,200,child,11.0
2232,Louisiana,225,child,10.4
2235,Louisiana,250,child,9.9
2238,Louisiana,275,child,9.3
2241,Louisiana,300,child,8.6
2244,Louisiana,325,child,8.2
2247,Louisiana,350,child,7.8
2250,Louisiana,375,child,7.0
2253,Louisiana,400,child,6.6
2256,Louisiana,425,child,6.0
2259,Louisiana,450,child,5.5
2262,Louisiana,475,child,5.2
2265,Louisiana,500,child,4.9
0,Maine,0,child,11.0
3,Maine,25,child,9.4
6,Maine,50,child,8.7
9,Maine,75,child,8.3
12,Maine,100,child,7.2
15,Maine,125,child,6.5
18,Maine,150,child,6.4
21,Maine,175,child,6.4
24,Maine,200,child,6.2
27,Maine,225,child,6.0
30,Maine,250,child,5.8
33,Maine,275,child,5.7
36,Maine,300,child,5.5
39,Maine,325,child,5.4
42,Maine,350,child,5.2
45,Maine,375,child,4.7
48,Maine,400,child,4.3
51,Maine,425,child,4.0
54,Maine,450,child,3.9
57,Maine,475,child,3.8
60,Maine,500,child,3.5
1386,Maryland,0,child,12.4
1389,Maryland,25,child,11.7
1392,Maryland,50,child,10.9
1395,Maryland,75,child,10.2
1398,Maryland,100,child,9.4
1401,Maryland,125,child,8.6
1404,Maryland,150,child,8.2
1407,Maryland,175,child,8.1
1410,Maryland,200,child,7.7
1413,Maryland,225,child,7.5
1416,Maryland,250,child,7.4
1419,Maryland,275,child,6.7
1422,Maryland,300,child,6.2
1425,Maryland,325,child,5.7
1428,Maryland,350,child,5.1
1431,Maryland,375,child,4.5
1434,Maryland,400,child,4.4
1437,Maryland,425,child,3.6
1440,Maryland,450,child,3.5
1443,Maryland,475,child,3.2
1446,Maryland,500,child,3.1
189,Massachusetts,0,child,11.7
192,Massachusetts,25,child,10.2
195,Massachusetts,50,child,9.9
198,Massachusetts,75,child,9.5
201,Massachusetts,100,child,9.0
204,Massachusetts,125,child,8.2
207,Massachusetts,150,child,7.9
210,Massachusetts,175,child,7.0
213,Massachusetts,200,child,6.6
216,Massachusetts,225,child,6.4
219,Massachusetts,250,child,5.9
222,Massachusetts,275,child,5.5
225,Massachusetts,300,child,5.4
228,Massachusetts,325,child,5.1
231,Massachusetts,350,child,4.9
234,Massachusetts,375,child,4.5
237,Massachusetts,400,child,4.4
240,Massachusetts,425,child,4.0
243,Massachusetts,450,child,3.8
246,Massachusetts,475,child,3.6
249,Massachusetts,500,child,3.4
756,Michigan,0,child,10.9
759,Michigan,25,child,10.8
762,Michigan,50,child,10.1
765,Michigan,75,child,9.5
768,Michigan,100,child,8.8
771,Michigan,125,child,8.0
774,Michigan,150,child,7.3
777,Michigan,175,child,6.8
780,Michigan,200,child,6.5
783,Michigan,225,child,6.3
786,Michigan,250,child,6.1
789,Michigan,275,child,5.5
792,Michigan,300,child,5.2
795,Michigan,325,child,5.0
798,Michigan,350,child,4.8
801,Michigan,375,child,4.5
804,Michigan,400,child,4.5
807,Michigan,425,child,4.2
810,Michigan,450,child,4.0
813,Michigan,475,child,3.8
816,Michigan,500,child,3.7
882,Minnesota,0,child,6.3
885,Minnesota,25,child,6.0
888,Minnesota,50,child,5.5
891,Minnesota,75,child,4.6
894,Minnesota,100,child,4.3
897,Minnesota,125,child,4.1
900,Minnesota,150,child,3.8
903,Minnesota,175,child,3.5
906,Minnesota,200,child,3.1
909,Minnesota,225,child,3.1
912,Minnesota,250,child,2.7
915,Minnesota,275,child,1.7
918,Minnesota,300,child,1.6
921,Minnesota,325,child,1.5
924,Minnesota,350,child,1.4
927,Minnesota,375,child,1.3
930,Minnesota,400,child,1.3
933,Minnesota,425,child,1.3
936,Minnesota,450,child,1.2
939,Minnesota,475,child,1.2
942,Minnesota,500,child,0.9
2079,Mississippi,0,child,16.8
2082,Mississippi,25,child,15.7
2085,Mississippi,50,child,14.4
2088,Mississippi,75,child,13.0
2091,Mississippi,100,child,12.6
2094,Mississippi,125,child,11.3
2097,Mississippi,150,child,10.6
2100,Mississippi,175,child,9.6
2103,Mississippi,200,child,8.9
2106,Mississippi,225,child,8.2
2109,Mississippi,250,child,7.7
2112,Mississippi,275,child,7.3
2115,Mississippi,300,child,7.3
2118,Mississippi,325,child,6.5
2121,Mississippi,350,child,5.6
2124,Mississippi,375,child,5.6
2127,Mississippi,400,child,5.3
2130,Mississippi,425,child,5.1
2133,Mississippi,450,child,4.7
2136,Mississippi,475,child,4.3
2139,Mississippi,500,child,3.9
1008,Missouri,0,child,11.3
1011,Missouri,25,child,11.1
1014,Missouri,50,child,10.2
1017,Missouri,75,child,10.0
1020,Missouri,100,child,9.1
1023,Missouri,125,child,8.6
1026,Missouri,150,child,8.0
1029,Missouri,175,child,7.7
1032,Missouri,200,child,7.1
1035,Missouri,225,child,6.5
1038,Missouri,250,child,6.1
1041,Missouri,275,child,5.4
1044,Missouri,300,child,4.8
1047,Missouri,325,child,4.5
1050,Missouri,350,child,4.4
1053,Missouri,375,child,4.4
1056,Missouri,400,child,4.4
1059,Missouri,425,child,4.1
1062,Missouri,450,child,4.0
1065,Missouri,475,child,3.6
1068,Missouri,500,child,3.6
2394,Montana,0,child,9.6
2397,Montana,25,child,9.2
2400,Montana,50,child,8.6
2403,Montana,75,child,8.1
2406,Montana,100,child,7.9
2409,Montana,125,child,7.2
2412,Montana,150,child,6.9
2415,Montana,175,child,6.8
2418,Montana,200,child,6.2
2421,Montana,225,child,5.5
2424,Montana,250,child,5.2
2427,Montana,275,child,5.0
2430,Montana,300,child,4.7
2433,Montana,325,child,4.7
2436,Montana,350,child,4.6
2439,Montana,375,child,4.4
2442,Montana,400,child,3.9
2445,Montana,425,child,3.8
2448,Montana,450,child,3.8
2451,Montana,475,child,3.5
2454,Montana,500,child,3.1
1197,Nebraska,0,child,10.1
1200,Nebraska,25,child,9.4
1203,Nebraska,50,child,8.7
1206,Nebraska,75,child,8.0
1209,Nebraska,100,child,7.3
1212,Nebraska,125,child,6.5
