,code,state,ca_monthly,poverty_rate
296,IA,Iowa,50,6.6
297,IA,Iowa,75,6.3
298,IA,Iowa,100,6.0
299,IA,Iowa,125,5.5
300,IA,Iowa,150,5.4
301,IA,Iowa,175,5.1
302,IA,Iowa,200,4.3
303,IA,Iowa,225,4.3
304,IA,Iowa,250,4.0
305,IA,Iowa,275,3.5
306,IA,Iowa,300,3.1
307,IA,Iowa,325,3.0
308,IA,Iowa,350,2.6
309,IA,Iowa,375,2.6
310,IA,Iowa,400,2.6
311,IA,Iowa,425,2.1
312,IA,Iowa,450,2.0
313,IA,Iowa,475,2.0
314,IA,Iowa,500,2.0
315,KS,Kansas,0,7.8
316,KS,Kansas,25,7.4
317,KS,Kansas,50,6.4
318,KS,Kansas,75,6.0
319,KS,Kansas,100,5.8
320,KS,Kansas,125,5.3
321,KS,Kansas,150,5.1
322,KS,Kansas,175,5.1
323,KS,Kansas,200,4.9
324,KS,Kansas,225,4.5
325,KS,Kansas,250,4.3
326,KS,Kansas,275,4.0
327,KS,Kansas,300,4.0
328,KS,Kansas,325,3.9
329,KS,Kansas,350,3.3
330,KS,Kansas,375,2.6
331,KS,Kansas,400,2.6
332,KS,Kansas,425,2.6
333,KS,Kansas,450,2.3
334,KS,Kansas,475,2.2
335,KS,Kansas,500,2.0
336,KY,Kentucky,0,11.6
337,KY,Kentucky,25,11.2
338,KY,Kentucky,50,10.5
339,KY,Kentucky,75,9.7
340,KY,Kentucky,100,9.2
341,KY,Kentucky,125,8.8
342,KY,Kentucky,150,8.5
343,KY,Kentucky,175,8.3
344,KY,Kentucky,200,7.8
345,KY,Kentucky,225,6.9
346,KY,Kentucky,250,6.9
347,KY,Kentucky,275,6.3
348,KY,Kentucky,300,5.7
349,KY,Kentucky,325,5.2
350,KY,Kentucky,350,4.8
351,KY,Kentucky,375,4.5
352,KY,Kentucky,400,4.0
353,KY,Kentucky,425,3.7
354,KY,Kentucky,450,3.1
355,KY,Kentucky,475,3.1
356,KY,Kentucky,500,2.9
357,LA,Louisiana,0,20.0
358,LA,Louisiana,25,19.1
359,LA,Louisiana,50,17.8
360,LA,Louisiana,75,16.4
361,LA,Louisiana,100,15.8
362,LA,Louisiana,125,14.1
